time_label,time,variable,value
1998Q1,1998.0,import,36982.4390131366
1998Q2,1998.25,import,35754.5080725246
1998Q3,1998.5,import,35104.5807816858
1998Q4,1998.75,import,33199.2202706389
1999Q1,1999.0,import,31018.0832344511
1999Q2,1999.25,import,35671.3182962035
1999Q3,1999.5,import,33826.1714189365
1999Q4,1999.75,import,35718.4785919739
2000Q1,2000.0,import,39451.3121392955
2000Q2,2000.25,import,42897.91299135
2000Q3,2000.5,import,41341.6006569467
2000Q4,2000.75,import,42118.6003564649
2001Q1,2001.0,import,35203.3317862734
2001Q2,2001.25,import,29678.0882276792
2001Q3,2001.5,import,30856.5137920429
2001Q4,2001.75,import,30227.0262084011
2002Q1,2002.0,import,36562.3984149888
2002Q2,2002.25,import,35806.1480088357
2002Q3,2002.5,import,38896.29388458
2002Q4,2002.75,import,41316.622556101
2003Q1,2003.0,import,42799.5512243831
2003Q2,2003.25,import,43664.4730156465
2003Q3,2003.5,import,49457.9650188195
2003Q4,2003.75,import,52133.6059845116
2004Q1,2004.0,import,55344.9136131163
2004Q2,2004.25,import,57405.964123308
2004Q3,2004.5,import,56625.4335191864
2004Q4,2004.75,import,58606.244937772
2005Q1,2005.0,import,60893.2475454095
2005Q2,2005.25,import,62280.9595697725
2005Q3,2005.5,import,64558.2583561542
2005Q4,2005.75,import,67931.9977011393
2006Q1,2006.0,import,68458.7861030885
2006Q2,2006.25,import,70114.0609363321
2006Q3,2006.5,import,66586.3332539031
2006Q4,2006.75,import,69013.2595496169
2007Q1,2007.0,import,73819.58375475
2007Q2,2007.25,import,72558.0834909797
2007Q3,2007.5,import,74746.6842942202
2007Q4,2007.75,import,79482.1205441672
2008Q1,2008.0,import,84994.5005498344
2008Q2,2008.25,import,74430.2597321626
2008Q3,2008.5,import,72107.8768094521
2008Q4,2008.75,import,60776.447723638
2009Q1,2009.0,import,56232.4062685004
2009Q2,2009.25,import,59704.2279345599
2009Q3,2009.5,import,66102.6785735119
2009Q4,2009.75,import,67412.288317802
2010Q1,2010.0,import,65813.497471463
2010Q2,2010.25,import,72679.3277405923
2010Q3,2010.5,import,76933.554053384
2010Q4,2010.75,import,82331.9385065608
2011Q1,2011.0,import,86368.4414479691
2011Q2,2011.25,import,87638.3153787185
2011Q3,2011.5,import,86198.7878922741
2011Q4,2011.75,import,82150.0830666453
2012Q1,2012.0,import,84258.4608190796
2012Q2,2012.25,import,86971.6190331075
2012Q3,2012.5,import,88249.6593209097
2012Q4,2012.75,import,84993.6237529788
2013Q1,2013.0,import,92543.656344503
2013Q2,2013.25,import,97823.2552531713
2013Q3,2013.5,import,96597.8078632259
2013Q4,2013.75,import,95127.69676368
2014Q1,2014.0,import,94933.048519085
2014Q2,2014.25,import,94889.0098239489
2014Q3,2014.5,import,95929.2123891579
2014Q4,2014.75,import,97484.8050310664
2015Q1,2015.0,import,96659.7484774273
2015Q2,2015.25,import,96263.0388289875
2015Q3,2015.5,import,95937.8762100097
2015Q4,2015.75,import,96913.9711827456
2016Q1,2016.0,import,98628.9944411671
2016Q2,2016.25,import,103230.810284797
2016Q3,2016.5,import,97219.5532331647
2016Q4,2016.75,import,98252.8179766961
2017Q1,2017.0,import,101981.69115383
2017Q2,2017.25,import,106529.260370827
2017Q3,2017.5,import,112673.449581712
2017Q4,2017.75,import,118404.35449702
2018Q1,2018.0,import,118323.052487011
2018Q2,2018.25,import,109267.935951482
2018Q3,2018.5,import,96639.5710374148
2018Q4,2018.75,import,88225.3318357131
2019Q1,2019.0,import,86925.5964676429
2019Q2,2019.25,import,92658.573086027
2019Q3,2019.5,import,100746.660991709
2019Q4,2019.75,import,111452.890500106
2020Q1,2020.0,import,106672.155525526
2020Q2,2020.25,import,85970.0883341554
2020Q3,2020.5,import,115279.620018227
2020Q4,2020.75,import,110402.566904651
2021Q1,2021.0,import,106013.952795114
2021Q2,2021.25,import,102963.088368838
2021Q3,2021.5,import,103920.095452307
2021Q4,2021.75,import,112340.596875809
2022Q1,2022.0,import,109456.35891448
2022Q2,2022.25,import,110701.659001333
2022Q3,2022.5,import,118112.160816522
2022Q4,2022.75,import,123401.459205458
2023Q1,2023.0,import,125495.889209268
2023Q2,2023.25,import,130913.271214508
2023Q3,2023.5,import,132524.061997599
2023Q4,2023.75,import,127174.636324645
2024Q1,2024.0,import,122130.357374445
2024Q2,2024.25,import,123094.161384336
2024Q3,2024.5,import,121680.663454436
2024Q4,2024.75,import,127966.231322965
2025Q1,2025.0,import,126551.170172973
1998Q1,1998.0,export,33834.8710579077
1998Q2,1998.25,export,34627.9280063547
1998Q3,1998.5,export,33404.9315962309
1998Q4,1998.75,export,34041.6017689581
1999Q1,1999.0,export,31684.7060179512
1999Q2,1999.25,export,30017.4765852001
1999Q3,1999.5,export,29190.7916798401
1999Q4,1999.75,export,30897.8574144086
2000Q1,2000.0,export,34189.6600449071
2000Q2,2000.25,export,36865.8478330529
2000Q3,2000.5,export,37017.8074008829
2000Q4,2000.75,export,36619.9231319609
2001Q1,2001.0,export,37989.3649450125
2001Q2,2001.25,export,38997.7497997333
2001Q3,2001.5,export,38233.2040369538
2001Q4,2001.75,export,36608.9430664398
2002Q1,2002.0,export,39073.0884769796
2002Q2,2002.25,export,39762.4787677662
