@frequency,dataset_code,dataset_name,FREQ,Frequency,indexed_at,Indicator,INDICATOR,original_period,original_value,period,provider_code,REF_AREA,Reference Area,series_code,series_name,value
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1998-Q1,36982.43901314,10227.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",36982.4390131366
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1998-Q2,35754.50807252,10317.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",35754.5080725246
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1998-Q3,35104.58078169,10408.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",35104.5807816858
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1998-Q4,33199.22027064,10500.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",33199.2202706389
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1999-Q1,31018.08323445,10592.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",31018.0832344511
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1999-Q2,35671.3182962,10682.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",35671.3182962035
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1999-Q3,33826.17141894,10773.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",33826.1714189365
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,1999-Q4,35718.47859197,10865.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",35718.4785919739
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2000-Q1,39451.3121393,10957.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",39451.3121392955
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2000-Q2,42897.91299135,11048.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",42897.91299135
