time_label,time,internal_debt,reer,usd,eur,m1,m2,budget_deficit,gdp_nom,bist,kredi,kapasite,cariacik,fdi
1998Q1,1998.0,7379467.0,117.14,0.22453803,,1585587.0,6108386.0,,14550310.6466342,32.5906,,,-1034.0,
1998Q2,1998.25,8389591.0,116.3,0.25381283,,1911074.0,7973087.0,,16888309.41633139,41.0,,,-259.0,
1998Q3,1998.5,9947456.0,126.14,0.27306121,,2338540.0,9157554.0,,20591750.9101964,22.6594,,,1514.0,
1998Q4,1998.75,11612885.0,129.17,0.29438585,,2562478.0,11423198.0,,19938675.5125477,25.9791,,,1779.0,
1999Q1,1999.0,14244446.0,129.82,0.34266077,0.38471089,3088238.0,13102594.0,,21065145.8467415,45.5407,,,1365.0,
1999Q2,1999.25,16979715.0,130.33,0.39686325,0.41951721,2890652.0,15282614.0,,25120458.43125319,49.5021,,,-1290.0,
1999Q3,1999.5,20028368.0,135.06,0.43944349,0.46074845,3358760.0,18550082.0,,30120380.1997286,60.7112,,,254.0,
1999Q4,1999.75,22920145.0,138.37,0.49908068,0.51768875,4681195.0,22401831.0,,31184697.77928709,152.0878,,,-1254.0,
2000Q1,2000.0,26679144.0,143.95,0.56488452,0.55738516,4908530.0,22440989.0,,36022584.275701,159.2,,,-2301.0,
2000Q2,2000.25,30391620.0,143.7,0.6119132,0.57160934,5727259.0,24508902.0,,41419656.3902257,144.66,,,-3271.0,
2000Q3,2000.5,31416794.0,149.44,0.64771175,0.58683856,6447812.0,26490251.0,,47930081.0283254,112.01,,,-1334.0,
2000Q4,2000.75,36420620.0,157.36,0.68213681,0.59084745,7549243.0,31912095.0,,46405637.7189418,94.06,,,-3014.0,
2001Q1,2001.0,50851184.0,122.2,0.78549262,0.72339373,8173524.0,38487237.0,,48788929.10198049,75.49,,,-571.0,
2001Q2,2001.25,90331702.0,118.36,1.1867973,1.03662392,9636585.0,40377691.0,,59436700.2564273,112.76,,,1422.0,
2001Q3,2001.5,105768511.0,104.54,1.3981855,1.24472414,10227299.0,42112694.0,,70087295.1566957,75.46,,,2092.0,
2001Q4,2001.75,122157260.0,122.06,1.53164092,1.37188373,11368782.0,47241075.0,,69494939.5250155,138.09,,,817.0,
2002Q1,2002.0,120299042.0,143.01,1.36258841,1.19492405,11078409.0,49514926.0,,74147803.425713,117.7,,,-461.0,
2002Q2,2002.25,126830490.0,123.74,1.41137281,1.29623814,12773245.0,53112804.0,,86155636.0705967,93.58,,,-618.0,
2002Q3,2002.5,140290726.0,120.24,1.65066769,1.62419388,14276762.0,56180930.0,,101734048.2923579,87.57,,,1244.0,
2002Q4,2002.75,149869691.0,130.97,1.6202501,1.61989337,15827630.0,61879759.0,,100869386.8181219,102.89,,,-791.0,571.0
