,na_ratio
policy_rate,0.0
deposit_rate,0.0
cpi_inflation_qoq,0.0
reer,0.0
cariacik,0.0
mining_prod_growth,0.00909090909090909
industrial_prod_sa,0.00909090909090909
electricity_prod_growth,0.00909090909090909
internal_debt,0.00909090909090909
m1,0.00909090909090909
bist,0.00909090909090909
m2,0.00909090909090909
manufacturing_prod_growth,0.00909090909090909
usd,0.00909090909090909
real_gdp,0.01818181818181818
export,0.01818181818181818
import,0.01818181818181818
eur,0.045454545454545456
ppi_index,0.2
unemployment,0.2
fdi,0.2545454545454545
bond_5y,0.2727272727272727
bond_2y,0.2727272727272727
labor_index,0.2818181818181818
labor_force,0.2818181818181818
budget_deficit,0.2909090909090909
kapasite,0.35454545454545455
bond_3y,0.43636363636363634
bond_10y,0.43636363636363634
kredi,0.5909090909090909
fiscal_balance,0.6272727272727273
