,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
policy_rate,0.2718105793155828,0.12921486939369256,0.25297192629136583,0.14703763066831596,0.16987637276384354,0.01501128713215742,0.0212247683086095,0.13060941017127534,-0.06983459607119716,-0.006088123998926249,0.02228341298513816,-0.05899976285079365,-0.03755945682815063,0.2807506230337915,-0.07716445938272463,-0.17705769612590758,-0.37359765041396104,-0.06254425372792323,-0.34044947415465654,0.44965895675705997,-0.2233306571440321,-0.2377064213985725,-0.009021564589431107,-0.2714086638291484,0.0937712873046161,-0.016856170466620534
deposit_rate,0.31542247069727314,0.14206578690487737,0.1182703748831177,0.16802536334112672,0.15625905528662387,0.00790621134912201,0.024412861492726808,0.12386025306845275,0.05108102845679893,0.05420250525840193,-0.01577623766658169,-0.034770598520506575,0.08653165040351603,-0.050812270435605204,0.09546851393859224,-0.07544862270810056,-0.16385851660584283,0.04898539341158853,-0.13483911362583595,-0.11480626700677742,0.09851571144930447,-0.07535300587148873,-0.044265715660505654,0.8075269288490415,-0.18846518907618137,0.015310757529140486
cpi_inflation_qoq,0.29880177324044266,0.1526969996947028,-0.007747174201950502,0.004659305074441112,-0.050404200626545645,0.012367111957636269,-0.07239565795999232,-0.17772207115601563,0.15063139304258827,0.1437875593395262,0.14809793618956768,-0.05881595034924259,-0.2401286170210286,-0.15073842651065225,0.3940920899036385,0.2653797487427567,-0.059028104058418844,0.2841518333888641,0.4579338544210606,0.3409755974833341,-0.03241393973044073,-0.0952654835735526,-0.22044589473213314,-0.038677252063582995,0.04708738759108911,-0.01713835860664292
reer,-0.17554182649189642,-0.13401872324991815,0.4182606679095283,-0.03008121680995001,0.1760883792932443,0.01956034728767197,0.002131976924628328,-0.021010084643008735,-0.1481369161196139,-0.0006493933352571683,-0.3683871146348705,0.2364635896879056,0.1948690580922627,0.047009994697050236,-0.25474092464338405,0.00019654938330488812,0.17599211769523523,0.5307665493652456,0.18944887820493744,0.16519024735697738,-0.07917136170391736,-0.05683984253205821,-0.16210971575238306,0.09815723704466864,0.05557873290796701,-0.022983431956994683
cariacik,0.15321237027927942,0.023333511957848243,-0.21535305875156235,0.039040086939875665,-0.1871232318842146,-0.11135122430898863,0.3598754470436449,0.4712373095255152,0.17310339680875214,0.14445449883239608,0.3481421776065252,0.1958438954099017,0.3346273413084905,-0.1823505070844596,-0.17769767765381977,0.08434624245890837,0.14846898374701956,0.27438528677543733,-0.08385291862514141,0.05591698585571988,-0.11693314099116528,-0.06766274134681746,0.004942449455124361,-0.084866606112096,0.04218139055316014,0.006140531594666493
mining_prod_growth,-0.09480142678596941,0.24383357009009665,-0.07362381877046173,-0.26923909914058347,0.218683643548862,-0.24753629142636074,0.13373250294595734,0.4426998399477232,0.09879756275727414,0.009066736118579883,-0.27394924949036187,0.10846320647226951,-0.27340247449269284,0.1798920798751101,0.2027299067939995,-0.055080599157829556,-0.0077904326927258115,-0.103472213945188,0.13492064723652653,-0.22712646887749946,-0.3345552492791611,0.0888458365160524,-0.281740053288163,-0.01134980459092231,0.033393611756977214,0.04224978555867678
industrial_prod_sa,-0.17301974069273848,0.37695127835947956,0.06593424442859747,0.17315086626402143,-0.1945537988676047,-0.014056192877424607,-0.06304877394554227,-0.026918389950310272,0.026677511026331566,-0.06498921605773567,-0.00814910601577329,-0.21756980818230354,0.12909494698361304,0.04057607851839772,-0.25535998972887664,0.13193610352468946,-0.32336248067371376,0.07957996541791432,0.34081604266016263,-0.37217234228038487,-0.21842264292224708,-0.37555114053896127,0.20332107455481732,-0.03369269238836296,0.027425587285207473,0.009525169070964038
electricity_prod_growth,-0.04840137781553698,0.15350575486426243,0.010871043591157335,0.17493313119370552,-0.16192572563660657,-0.29569693075218073,0.6531734680457619,-0.06912888467892875,-0.1606480237750956,-0.020717200842376493,-0.33166661071547804,-0.10323727113105206,-0.17448550559278844,0.010484852792135076,-0.002393405960460959,0.14597731494255972,-0.07400356750833398,-0.005400095541690786,0.009985941520071021,0.15999737242287473,0.364452795984836,0.07460763937068902,0.13849636667020043,-0.014411310527716704,-0.03828695623301342,-0.09530525079507977
internal_debt,0.30314255846586086,0.07569871672895905,0.016669934587451966,-0.06764551514561128,-0.08358418101793416,-0.03829107208458902,-0.0006331316769465173,0.040923786514434055,0.08675027023668966,-0.13854703960680023,-0.16753724684625185,-0.3215705239272592,0.47657392402201176,0.12143658052746412,0.1919814849431615,-0.49948086332769437,0.048207743596134604,0.07475567970086346,0.2714608057949976,-0.047161927526305825,0.1544629995316696,0.244019523861627,0.013688000624854512,-0.17915891736588024,0.03360634767082803,-0.01847679087246217
m1,0.11966707457573957,0.18974505888268048,-0.05029976528829452,-0.3128702956683456,0.028671446811007126,0.4648114496296744,0.22563912528858626,0.060875565984811954,-0.23893566831604993,-0.1427143773022563,0.012547115146173057,0.03595457369115117,0.11105265383491414,0.059830039536587463,-0.16066480156820365,0.0962971678119952,0.2276969070972245,-0.4087674707290923,0.30781987794678395,0.27382772910583253,-0.08387385723266433,-0.1097888667106188,0.09273316842666177,0.17416078229739756,-0.01761584943277777,0.02932726493801504
